,areaname,population,date,newcasesbypublishdate,cases_per_100k
336,East Midlands,4533000,02/11/2020,1542,34.01720714758438
4624,Yorkshire and the Humber,5486000,02/11/2020,2906,52.971199416697054
2480,North West,7300000,02/11/2020,3246,44.465753424657535
3016,South East,9175000,02/11/2020,1625,17.71117166212534
1408,London,8899375,02/11/2020,1739,19.54069808273053
1914,North East,2597000,02/12/2020,590,22.718521370812475
6359,Scotland,5454000,02/12/2020,951,17.436743674367438
4594,Yorkshire and the Humber,5486000,02/12/2020,1347,24.553408676631424
1378,London,8899375,02/12/2020,2614,29.372849216939393
3522,South West,5616000,02/12/2020,649,11.556267806267806
306,East Midlands,4533000,02/12/2020,1275,28.12706816677697
4058,West Midlands,2928000,02/12/2020,1495,51.05874316939891
2450,North West,7300000,02/12/2020,1719,23.547945205479454
5152,Wales,3136000,02/12/2020,1480,47.19387755102041
2986,South East,9175000,02/12/2020,2210,24.08719346049046
842,East of England,5847000,02/12/2020,1321,22.592782623567643
5759,Northern Ireland,1885000,02/12/2020,416,22.068965517241377
5120,Wales,3136000,03/01/2021,4011,127.90178571428571
4026,West Midlands,2928000,03/01/2021,2934,100.20491803278688
3490,South West,5616000,03/01/2021,2337,41.613247863247864
1346,London,8899375,03/01/2021,14212,159.6966079078587
5727,Northern Ireland,1885000,03/01/2021,1662,88.16976127320955
2418,North West,7300000,03/01/2021,6178,84.63013698630138
6327,Scotland,5454000,03/01/2021,2464,45.177851118445176
2954,South East,9175000,03/01/2021,9022,98.33242506811989
1882,North East,2597000,03/01/2021,1566,60.300346553715826
810,East of England,5847000,03/01/2021,6700,114.5886779545066
274,East Midlands,4533000,03/01/2021,1782,39.311714096624755
4562,Yorkshire and the Humber,5486000,03/01/2021,1933,35.23514400291651
5089,Wales,3136000,03/02/2021,455,14.508928571428571
2923,South East,9175000,03/02/2021,2330,25.39509536784741
1851,North East,2597000,03/02/2021,900,34.6553715825953
3459,South West,5616000,03/02/2021,942,16.773504273504273
243,East Midlands,4533000,03/02/2021,1720,37.94396646812266
2387,North West,7300000,03/02/2021,2582,35.369863013698634
5696,Northern Ireland,1885000,03/02/2021,504,26.73740053050398
6296,Scotland,5454000,03/02/2021,978,17.931793179317932
3995,West Midlands,2928000,03/02/2021,2325,79.40573770491804
1315,London,8899375,03/02/2021,2973,33.40684036800337
779,East of England,5847000,03/02/2021,1764,30.169317598768597
4531,Yorkshire and the Humber,5486000,03/02/2021,1605,29.256288734961718
6633,Scotland,5454000,03/03/2020,0,0.0
5426,Wales,3136000,03/03/2020,0,0.0
2895,South East,9175000,03/03/2021,490,5.340599455040872
6268,Scotland,5454000,03/03/2021,543,9.955995599559957
5061,Wales,3136000,03/03/2021,208,6.63265306122449
2359,North West,7300000,03/03/2021,923,12.643835616438356
5668,Northern Ireland,1885000,03/03/2021,226,11.989389920424404
1823,North East,2597000,03/03/2021,407,15.671929149018096
