,areaname,population,date,newcasesbypublishdate,cases_per_100k
185,East Midlands,4533000,02/04/2021,353,7.787337304213545
3937,West Midlands,2928000,02/04/2021,361,12.329234972677597
721,East of England,5847000,02/04/2021,260,4.446724816145032
2329,North West,7300000,02/04/2021,445,6.095890410958904
1793,North East,2597000,02/04/2021,134,5.15979976896419
3401,South West,5616000,02/04/2021,145,2.581908831908832
4495,Wales,3136000,02/04/2021,0,0.0
2865,South East,9175000,02/04/2021,322,3.5095367847411443
5102,Northern Ireland,1885000,02/04/2021,107,5.676392572944297
1257,London,8899375,02/04/2021,286,3.213708827867125
5702,Scotland,5454000,02/04/2021,414,7.590759075907592
1592,London,8899375,02/05/2020,223,2.5057939462040872
4272,West Midlands,2928000,02/05/2020,239,8.162568306010929
2664,North West,7300000,02/05/2020,492,6.73972602739726
2128,North East,2597000,02/05/2020,128,4.928763958413554
5437,Northern Ireland,1885000,02/05/2020,66,3.50132625994695
520,East Midlands,4533000,02/05/2020,125,2.757555702625193
4830,Wales,3136000,02/05/2020,183,5.8354591836734695
3736,South West,5616000,02/05/2020,101,1.7984330484330484
3200,South East,9175000,02/05/2020,229,2.4959128065395095
1056,East of England,5847000,02/05/2020,273,4.669061056952283
6037,Scotland,5454000,02/05/2020,273,5.005500550055006
691,East of England,5847000,02/05/2021,134,2.2917735590901316
1227,London,8899375,02/05/2021,216,2.4271367371304167
3371,South West,5616000,02/05/2021,59,1.0505698005698005
2299,North West,7300000,02/05/2021,245,3.356164383561644
5072,Northern Ireland,1885000,02/05/2021,69,3.6604774535809024
2835,South East,9175000,02/05/2021,145,1.5803814713896458
4465,Wales,3136000,02/05/2021,79,2.5191326530612246
155,East Midlands,4533000,02/05/2021,124,2.7354952570041915
1763,North East,2597000,02/05/2021,54,2.079322294955718
3907,West Midlands,2928000,02/05/2021,130,4.439890710382514
5672,Scotland,5454000,02/05/2021,146,2.6769343601026767
489,East Midlands,4533000,02/06/2020,49,1.0809618354290755
4799,Wales,3136000,02/06/2020,67,2.1364795918367347
1561,London,8899375,02/06/2020,32,0.3595758129082099
6006,Scotland,5454000,02/06/2020,53,0.9717638430509717
2097,North East,2597000,02/06/2020,26,1.001155179052753
3169,South East,9175000,02/06/2020,48,0.5231607629427792
1025,East of England,5847000,02/06/2020,61,1.043270053018642
2633,North West,7300000,02/06/2020,73,1.0
4241,West Midlands,2928000,02/06/2020,65,2.219945355191257
3705,South West,5616000,02/06/2020,13,0.23148148148148148
5406,Northern Ireland,1885000,02/06/2020,4,0.21220159151193635
1196,London,8899375,02/06/2021,573,6.438654399887633
2804,South East,9175000,02/06/2021,377,4.10899182561308
124,East Midlands,4533000,02/06/2021,195,4.301786896095301
3340,South West,5616000,02/06/2021,128,2.2792022792022792
5041,Northern Ireland,1885000,02/06/2021,84,4.456233421750664
3876,West Midlands,2928000,02/06/2021,242,8.265027322404372
5641,Scotland,5454000,02/06/2021,677,12.412907957462412
660,East of England,5847000,02/06/2021,181,3.095604583547118
2268,North West,7300000,02/06/2021,1158,15.863013698630136
1732,North East,2597000,02/06/2021,122,4.697728147862919
4434,Wales,3136000,02/06/2021,83,2.6466836734693877
5376,Northern Ireland,1885000,02/07/2020,7,0.3713527851458886
5976,Scotland,5454000,02/07/2020,5,0.09167583425009168
995,East of England,5847000,02/07/2020,24,0.4104669061056952
2603,North West,7300000,02/07/2020,94,1.2876712328767124
4769,Wales,3136000,02/07/2020,41,1.3073979591836735
1531,London,8899375,02/07/2020,34,0.382049301214973
3139,South East,9175000,02/07/2020,63,0.6866485013623977
4211,West Midlands,2928000,02/07/2020,55,1.8784153005464481
3675,South West,5616000,02/07/2020,10,0.17806267806267806
2067,North East,2597000,02/07/2020,15,0.5775895263765884
459,East Midlands,4533000,02/07/2020,96,2.1178027796161483
94,East Midlands,4533000,02/07/2021,1423,31.392014118685196
2774,South East,9175000,02/07/2021,2445,26.64850136239782
3846,West Midlands,2928000,02/07/2021,2222,75.8879781420765
2238,North West,7300000,02/07/2021,5003,68.53424657534246
4404,Wales,3136000,02/07/2021,570,18.176020408163268
630,East of England,5847000,02/07/2021,1359,23.242688558234992
3310,South West,5616000,02/07/2021,1944,34.61538461538461
1166,London,8899375,02/07/2021,2651,29.78860875061451
5611,Scotland,5454000,02/07/2021,3823,70.09534286762009
1702,North East,2597000,02/07/2021,2238,86.176357335387
5011,Northern Ireland,1885000,02/07/2021,339,17.984084880636605
2036,North East,2597000,02/08/2020,13,0.5005775895263765
428,East Midlands,4533000,02/08/2020,83,1.831016986543128
3108,South East,9175000,02/08/2020,57,0.6212534059945504
1500,London,8899375,02/08/2020,70,0.786572090736709
4738,Wales,3136000,02/08/2020,37,1.1798469387755102
2572,North West,7300000,02/08/2020,226,3.095890410958904
5945,Scotland,5454000,02/08/2020,31,0.5683901723505684
5345,Northern Ireland,1885000,02/08/2020,0,0.0
4180,West Midlands,2928000,02/08/2020,54,1.8442622950819674
964,East of England,5847000,02/08/2020,34,0.581494783649735
3644,South West,5616000,02/08/2020,34,0.6054131054131054
4980,Northern Ireland,1885000,02/08/2021,872,46.259946949602124
2207,North West,7300000,02/08/2021,2451,33.57534246575342
599,East of England,5847000,02/08/2021,2060,35.231742774072174
3279,South West,5616000,02/08/2021,2069,36.84116809116809
1135,London,8899375,02/08/2021,2719,30.552707353044454
3815,West Midlands,2928000,02/08/2021,1861,63.55874316939891
1671,North East,2597000,02/08/2021,909,35.001925298421256
